promotion,bouts,fighters,mean_rating,median_rating,p75_rating,vs_ufc,ratable
LNK Boxing / WFCA Baltic,6,8,0.5248,0.3284,1.7815,0.0481,False
Battle Arena,2,4,0.524,0.1463,0.83,0.0473,False
UKFC,22,33,0.5235,0.3767,1.0633,0.0468,False
FLP,13,20,0.5228,0.3985,0.9811,0.0461,False
Crash Combat,3,5,0.521,0.4426,0.7795,0.0443,False
TKO MMA,1,2,0.5201,0.5201,0.5259,0.0434,False
GOTC,2,3,0.5199,0.6114,0.6825,0.0432,False
Black Dragon,2,4,0.5194,0.3636,0.8731,0.0427,False
WCC Natural Selection,2,4,0.5186,0.5334,0.6323,0.0419,False
Force of One MMA,1,2,0.517,0.517,0.9593,0.0403,False
BFL,27,32,0.5169,0.3506,1.0927,0.0402,True
DFS,1,2,0.5168,0.5168,0.5405,0.0401,False
NOTW,2,3,0.5161,0.7241,0.8686,0.0394,False
ROC,38,58,0.5158,0.3599,0.9901,0.0391,True
Midtown Productions,1,2,0.5142,0.5142,0.871,0.0375,False
BKP,2,3,0.5142,0.5142,1.2278,0.0375,False
Tru-Form Entertainment,2,4,0.5116,0.3921,1.0871,0.0349,False
Venator,6,10,0.5103,0.5536,0.8936,0.0336,False
Midwest Championship Fighting,1,2,0.5097,0.5097,0.8647,0.033,False
UCE,1,2,0.5097,0.5097,0.8647,0.033,False
EMC: Talents,3,5,0.5075,0.3751,0.8697,0.0308,False
CG,10,17,0.5065,0.2016,0.8983,0.0298,False
Aura Fight Gala,1,2,0.5063,0.5063,0.9637,0.0296,False
One,13,17,0.5059,0.284,1.3174,0.0292,False
M-1 Global,21,34,0.5037,0.5209,1.0605,0.027,False
Samurai Fight Contest,1,2,0.5032,0.5032,0.8559,0.0265,False
Sul Fluminense Fight Night,1,2,0.5032,0.5032,0.8559,0.0265,False
Knockout Promotions,11,15,0.5028,0.094,1.3394,0.0261,False
MMADU,2,3,0.5017,0.2059,0.6455,0.025,False
UCFC,4,6,0.4998,0.2341,1.5225,0.0231,False
AUTMMAF,3,4,0.4994,0.4994,1.2017,0.0227,False
Full Contact Promotions,7,9,0.4982,0.4893,1.4073,0.0215,False
Climent Club,1,2,0.4966,0.4966,0.4985,0.0199,False
Berkut Fighting Championship,1,2,0.4966,0.4966,0.4985,0.0199,False
CIS,1,2,0.4958,0.4958,0.7087,0.0191,False
100&#37; Fight,28,34,0.4957,0.2704,1.2922,0.019,True
Uzbekistan MMA Association,1,2,0.4946,0.4946,0.844,0.0179,False
Counterattack-9,1,2,0.4946,0.4946,0.844,0.0179,False
DonnyBrooke Fight Promotion,7,9,0.4939,0.3657,1.258,0.0172,False
AOWCF,2,4,0.4924,0.4678,1.161,0.0157,False
The Fight Project MMA,2,4,0.489,0.3931,0.8555,0.0123,False
WCT,1,2,0.4888,0.4888,0.6143,0.0121,False
IFO Europe,1,2,0.488,0.488,0.4904,0.0113,False
011 MMA Team,2,4,0.487,0.4461,0.6751,0.0103,False
AEC,1,2,0.4864,0.4864,0.6101,0.0097,False
Beazt Fight Night,1,2,0.4864,0.4864,0.9293,0.0097,False
OMMAC,5,8,0.486,0.205,1.2747,0.0093,False
Innferno,10,17,0.4857,0.3408,1.1462,0.009,False
Animalistic MMA,1,2,0.4855,0.4855,0.8315,0.0088,False
Respect Fighting Championship,2,3,0.485,0.1994,0.6319,0.0083,False
TDLMMA,3,4,0.4849,0.6775,1.0081,0.0082,False
SFH,5,9,0.4837,0.6944,0.8731,0.007,False
IGF,13,13,0.4834,0.7682,0.8647,0.0067,False
WFL,6,9,0.4822,0.1451,0.946,0.0055,False
WMMA,2,4,0.482,0.3995,0.8472,0.0053,False
No Mercy Combat,1,2,0.4814,0.4814,0.4883,0.0047,False
Impact Championship,2,4,0.4812,0.3291,0.6135,0.0045,False
AOS9,1,2,0.4809,0.4809,0.825,0.0042,False
Team Buck Wild,1,2,0.4809,0.4809,0.825,0.0042,False
MMAC,5,9,0.4806,0.2894,0.7422,0.0039,False
AOS7,2,4,0.4804,0.3774,0.5865,0.0037,False
BAMMA,29,42,0.4804,0.3739,0.9154,0.0037,True
Glory of Heroes,4,8,0.479,0.5115,0.8934,0.0023,False
SteelFist Fight Night,7,9,0.4788,0.7264,0.8725,0.0021,False
KMMAC,1,2,0.4784,0.4784,0.6356,0.0017,False
Invicta,14,20,0.4782,0.6605,0.8789,0.0015,False
BYE,9,13,0.4781,0.5446,1.0556,0.0014,False
UFC,8774,2775,0.4767,0.4499,0.9738,0.0,True
Aruba Fighting Championship,2,4,0.475,0.2267,0.706,-0.0017,False
GD,1,2,0.4746,0.4746,0.597,-0.0021,False
Samurai FC,1,2,0.4739,0.4739,0.4832,-0.0028,False
Maxfight,25,27,0.4739,0.2611,1.2821,-0.0028,True
World Championship Pankration,1,2,0.4725,0.4725,0.8136,-0.0042,False
TMC,1,2,0.4725,0.4725,0.8136,-0.0042,False
FMMAMG,5,8,0.4722,0.6607,0.8357,-0.0045,False
Titan,43,64,0.4719,0.3067,1.1504,-0.0048,True
Premier FC,3,4,0.471,0.6031,0.6688,-0.0057,False
Den Bojovnikov,1,2,0.4709,0.4709,0.8114,-0.0058,False
King's Arena,2,4,0.4705,0.4635,0.7108,-0.0062,False
Pride,1,2,0.4692,0.4692,0.5964,-0.0075,False
TAURA MMA,3,6,0.4687,0.7001,0.8601,-0.008,False
Southern border,1,2,0.4654,0.4654,0.4775,-0.0113,False
Pantanal Fight,8,10,0.4623,0.9576,1.0081,-0.0144,False
Deadgame Fight School,1,2,0.4622,0.4622,0.4753,-0.0145,False
BFC: Contender Series,1,2,0.4621,0.4621,0.7992,-0.0146,False
Talent Draft,2,4,0.4616,0.2829,0.6931,-0.0151,False
FCOC,8,13,0.4603,0.5927,1.1258,-0.0164,False
Cowboy MMA,1,2,0.4598,0.4598,0.7961,-0.0169,False
UPC Unlimited,1,2,0.4594,0.4594,0.4735,-0.0173,False
UWC Mexico,19,26,0.4576,0.4676,0.8082,-0.0191,False
Liga Inmortal,1,2,0.457,0.457,0.4718,-0.0197,False
DMF,2,4,0.4559,0.2658,0.9093,-0.0208,False
EGM,1,2,0.4555,0.4555,0.7902,-0.0212,False
Staredown,2,4,0.4529,0.5531,0.6761,-0.0238,False
Pain Pit Fight Night,3,6,0.4528,0.4713,0.6993,-0.0239,False
Jungle Fight,99,123,0.4527,0.5179,0.7956,-0.024,True
Desert Force,14,16,0.4494,0.5384,0.6648,-0.0273,False
Trophy,3,5,0.4494,0.4704,0.9447,-0.0273,False
Legion,1,2,0.4493,0.4493,0.7817,-0.0274,False
SPF,2,3,0.4485,0.5785,0.8865,-0.0282,False
OctoFight France,1,2,0.4482,0.4482,0.5528,-0.0285,False
MPF,3,3,0.4477,0.5888,1.0423,-0.029,False
STB,6,12,0.4472,0.4742,0.7473,-0.0295,False
SFS,11,16,0.4465,0.4353,0.7937,-0.0302,False
HFC,25,39,0.4463,0.1076,1.0214,-0.0304,True
Wawan MMA,2,3,0.4453,0.5978,0.8422,-0.0314,False
FW,3,6,0.4448,0.4669,0.5806,-0.0319,False
Cidade da Luta,3,6,0.4444,0.375,0.4691,-0.0323,False
XFS,2,4,0.4443,0.2731,1.0173,-0.0324,False
CW,218,251,0.4426,0.3716,0.6989,-0.0341,True
CFFC,109,143,0.4422,0.4599,0.848,-0.0345,True
Retribution FC,1,2,0.4415,0.4415,0.7232,-0.0352,False
Ox MMA,1,2,0.4408,0.4408,0.5201,-0.0359,False
Back Fish MMA,1,2,0.4408,0.4408,0.461,-0.0359,False
African Knockout,12,14,0.4401,0.5263,1.0351,-0.0366,False
Productora LFN,2,3,0.4393,0.6458,0.7392,-0.0374,False
CZMMA,4,6,0.4389,0.4331,1.0754,-0.0378,False
Knuckled Up Promotions,3,5,0.4382,0.6262,0.8865,-0.0385,False
HD,1,2,0.4377,0.4377,0.8609,-0.039,False
Dojo Serpiente,2,4,0.4377,0.6427,0.7347,-0.039,False
Xtreme Combat Promotions,2,4,0.4377,0.3678,1.0127,-0.039,False
RHMFN,1,2,0.4372,0.4372,0.7649,-0.0395,False
War,3,6,0.4366,0.5678,0.6021,-0.0401,False
RXMMA,1,2,0.4351,0.4351,0.4571,-0.0416,False
TF,19,24,0.435,0.2395,0.872,-0.0417,False
WLF,56,62,0.4348,0.4627,0.5546,-0.0419,True
Sokol Fighting,2,4,0.4347,0.6216,1.0437,-0.042,False
FMS,5,10,0.4336,0.5724,0.8125,-0.0431,False
Conquest MMA,1,2,0.4327,0.4327,0.5817,-0.044,False
